VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,1/1/2019 0:55,1/1/2019 1:01,1,1,1,N,11,22,2,6,0.5,0.5,0,0,0.3,7.3,
1,1/1/2019 0:29,1/1/2019 1:23,2,11,1,N,181,239,1,40,0.5,0.5,10.33,0,0.3,51.63,
2,1/1/2019 0:20,1/1/2019 0:36,1,1.5,1,N,161,229,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,1/1/2019 0:42,1/1/2019 0:51,1,0.72,1,N,162,43,2,7,0.5,0.5,0,0,0.3,8.3,
2,1/1/2019 0:53,1/2/2019 0:51,1,2.6,1,N,43,137,1,13,0.5,0.5,2.14,0,0.3,16.44,
1,1/1/2019 0:16,1/1/2019 0:23,1,1.5,1,N,236,237,1,7,0.5,0.5,1.65,0,0.3,9.95,
1,1/1/2019 0:24,1/1/2019 0:30,1,1,1,N,237,140,2,6,0.5,0.5,0,0,0.3,7.3,
1,1/1/2019 0:34,1/1/2019 0:38,1,0.6,1,N,140,237,1,5,0.5,0.5,1.25,0,0.3,7.55,
1,1/1/2019 0:39,1/1/2019 0:51,1,1.9,1,N,237,238,1,9.5,0.5,0.5,3.2,0,0.3,14,
1,1/1/2019 0:52,1/1/2019 0:59,1,1.9,1,N,238,237,1,8,0.5,0.5,1.85,0,0.3,11.15,
1,1/1/2019 0:24,1/1/2019 0:37,1,1.3,1,N,162,107,1,9.5,0.5,0.5,2.15,0,0.3,12.95,
1,1/1/2019 0:47,1/1/2019 0:55,1,0.8,1,N,107,79,1,6.5,0.5,0.5,1.55,0,0.3,9.35,
1,1/1/2019 0:59,1/1/2019 1:28,1,3.8,1,N,113,142,1,19.5,0.5,0.5,4.15,0,0.3,24.95,
1,1/1/2019 0:18,1/1/2019 0:25,1,1.3,1,N,161,137,1,7,0.5,0.5,0,0,0.3,8.3,
1,1/1/2019 0:40,1/1/2019 0:44,2,0.4,1,N,164,170,4,4.5,0.5,0.5,0,0,0.3,5.8,
1,1/1/2019 0:59,1/1/2019 1:01,6,0.5,1,N,161,161,3,4,0.5,0.5,0,0,0.3,5.3,
1,1/1/2019 0:10,1/1/2019 0:27,2,4.3,1,N,229,223,2,16,0.5,0.5,0,0,0.3,17.3,
2,1/1/2019 0:25,1/1/2019 1:02,6,3.58,1,N,211,48,2,23,0.5,0.5,0,0,0.3,24.3,
1,1/1/2019 0:26,1/1/2019 0:49,2,2.1,1,N,158,107,2,14.5,0.5,0.5,0,0,0.3,15.8,
2,1/1/2019 0:18,1/1/2019 0:26,1,1.11,1,N,13,231,1,7,0.5,0.5,0,0,0.3,8.3,
2,1/1/2019 0:33,1/1/2019 1:07,1,5.63,1,N,113,238,1,24,0.5,0.5,5.06,0,0.3,30.36,
1,1/1/2019 0:11,1/1/2019 0:15,1,0.8,1,N,79,79,1,5,0.5,0.5,1.26,0,0.3,7.56,
1,1/1/2019 0:17,1/1/2019 0:27,1,3.7,1,N,107,87,1,13,0.5,0.5,2.85,0,0.3,17.15,
1,1/1/2019 0:35,1/1/2019 0:58,1,5.4,1,N,261,142,1,20.5,0.5,0.5,5.45,0,0.3,27.25,
1,1/1/2019 0:12,1/1/2019 0:23,1,1.8,1,N,211,232,2,9.5,0.5,0.5,0,0,0.3,10.8,
1,1/1/2019 0:31,1/1/2019 0:47,1,2.1,1,N,79,164,1,11.5,0.5,0.5,2.55,0,0.3,15.35,
1,1/1/2019 0:54,1/1/2019 1:01,1,1,1,N,107,170,1,6.5,0.5,0.5,1,0,0.3,8.8,
1,1/1/2019 0:00,1/1/2019 0:06,1,0.8,1,N,148,79,1,5.5,0.5,0.5,2,0,0.3,8.8,
1,1/1/2019 0:14,1/1/2019 0:24,1,2.7,1,N,4,87,1,11,0.5,0.5,1,0,0.3,13.3,
1,1/1/2019 0:31,1/1/2019 0:38,1,0.7,1,Y,148,148,1,6,0.5,0.5,1.8,0,0.3,9.1,
1,1/1/2019 0:43,1/1/2019 0:50,1,1.1,1,N,79,231,1,7,0.5,0.5,1,0,0.3,9.3,
1,1/1/2019 0:54,1/1/2019 1:02,1,1.5,1,N,231,158,1,7.5,0.5,0.5,1,0,0.3,9.8,
1,1/1/2019 0:16,1/1/2019 0:24,2,1.2,1,N,142,237,2,7,0.5,0.5,0,0,0.3,8.3,
1,1/1/2019 0:29,1/1/2019 0:36,2,1.9,1,N,237,262,1,8,0.5,0.5,1.85,0,0.3,11.15,
1,1/1/2019 0:41,1/1/2019 0:59,1,5.8,1,N,236,244,2,20,0.5,0.5,0,0,0.3,21.3,
2,1/1/2019 0:20,1/1/2019 0:40,2,5.7,1,N,164,255,2,19.5,0.5,0.5,0,5.76,0.3,26.56,
2,1/1/2019 0:06,1/1/2019 0:08,1,0.46,1,N,239,239,1,4,0.5,0.5,1.59,0,0.3,6.89,
2,1/1/2019 0:09,1/1/2019 0:17,1,1.72,1,N,239,236,2,8,0.5,0.5,0,0,0.3,9.3,
2,1/1/2019 0:18,1/1/2019 0:24,1,1.6,1,N,236,239,2,7,0.5,0.5,0,0,0.3,8.3,
2,1/1/2019 0:30,1/1/2019 0:33,1,0.69,1,N,143,239,2,5,0.5,0.5,0,0,0.3,6.3,
2,1/1/2019 0:36,1/1/2019 0:44,1,1.4,1,N,239,151,1,8,0.5,0.5,2.32,0,0.3,11.62,
2,1/1/2019 0:40,1/1/2019 0:46,1,1.18,1,N,238,143,1,6.5,0.5,0.5,1.95,0,0.3,9.75,
2,1/1/2019 0:51,1/1/2019 1:04,1,3.35,1,N,143,41,1,12,0.5,0.5,2.66,0,0.3,17.91,
